frontend_specialty,PRIMARY_TAXONOMY,taxonomy_description,mapping_status,mapping_notes
Cardiology,207RC0000X,Cardiovascular Disease Physician,approved,Core cardiology code
Cardiology,207RC0001X,Clinical Cardiac Electrophysiology Physician,approved,Cardiology subspecialty
Cardiology,207RI0011X,Interventional Cardiology Physician,approved,Cardiology subspecialty
Cardiology,207RA0001X,Advanced Heart Failure and Transplant Cardiology Physician,approved,Cardiology subspecialty
Cardiology,207UN0901X,Nuclear Cardiology Physician,approved,Cardiac imaging subspecialty
Cardiology,2080P0202X,Pediatric Cardiology Physician,approved,Pediatric/specialty overlap: Cardiology <-> Pediatrics
Pediatrics,208000000X,Pediatrics Physician,approved,Core pediatrics code
Pediatrics,2080A0000X,Pediatric Adolescent Medicine Physician,approved,Pediatrics subspecialty
Pediatrics,2080P0006X,Developmental - Behavioral Pediatrics Physician,approved,Pediatrics subspecialty
Pediatrics,2080N0001X,Neonatal-Perinatal Medicine Physician,approved,Pediatrics subspecialty
Pediatrics,2080P0201X,Pediatric Allergy/Immunology Physician,approved,Pediatrics subspecialty
Pediatrics,2080P0203X,Pediatric Critical Care Medicine Physician,approved,Pediatrics subspecialty
Pediatrics,2080P0206X,Pediatric Gastroenterology Physician,approved,Pediatrics subspecialty
Pediatrics,2080P0208X,Pediatric Infectious Diseases Physician,approved,Pediatrics subspecialty
Pediatrics,2080P0210X,Pediatric Nephrology Physician,approved,Pediatrics subspecialty
Pediatrics,2080P0214X,Pediatric Pulmonology Physician,approved,Pediatrics subspecialty
Pediatrics,2080P0216X,Pediatric Rheumatology Physician,approved,Pediatrics subspecialty
Pediatrics,2080C0008X,Child Abuse Pediatrics Physician,approved,Pediatrics subspecialty
Pediatrics,2080I0007X,Pediatric Clinical & Laboratory Immunology Physician,approved,Pediatrics subspecialty
Pediatrics,2080T0002X,Pediatric Medical Toxicology Physician,approved,Pediatrics subspecialty
Pediatrics,2080P0008X,Pediatric Neurodevelopmental Disabilities Physician,approved,Pediatrics subspecialty
Pediatrics,2080B0002X,Pediatric Obesity Medicine Physician,approved,Pediatrics subspecialty
Pediatrics,2080P1004X,Physician Nutrition Specialist (Pediatrics),approved,Pediatrics subspecialty
Pediatrics,2080S0012X,Pediatric Sleep Medicine Physician,approved,Pediatrics subspecialty
Pediatrics,2080S0010X,Pediatric Sports Medicine Physician,approved,Pediatrics subspecialty
Pediatrics,2080T0004X,Pediatric Transplant Hepatology Physician,approved,Pediatrics subspecialty
Pediatrics,2086S0120X,Pediatric Surgery Physician,approved,Pediatric surgical subspecialty
Pediatrics,2085P0229X,Pediatric Radiology Physician,approved,Pediatric imaging subspecialty
Pediatrics,2088P0231X,Pediatric Urology Physician,approved,Pediatric surgical subspecialty
Pediatrics,2081P0010X,Pediatric Rehabilitation Medicine Physician,approved,Pediatric rehab subspecialty
Pediatrics,2080P0202X,Pediatric Cardiology Physician,approved,Pediatric/specialty overlap: Pediatrics <-> Cardiology
Pediatrics,2080P0205X,Pediatric Endocrinology Physician,approved,Pediatric/specialty overlap: Pediatrics <-> Endocrinology
Pediatrics,2080P0207X,Pediatric Hematology & Oncology Physician,approved,Pediatric/specialty overlap: Pediatrics <-> Oncology
Pediatrics,207PP0204X,Pediatric Emergency Medicine (Emergency Medicine) Physician,approved,Pediatric/specialty overlap: Pediatrics <-> Emergency Medicine
Pediatrics,2080P0204X,Pediatric Emergency Medicine (Pediatrics) Physician,approved,Pediatric/specialty overlap: Pediatrics <-> Emergency Medicine
Orthopedics,207X00000X,Orthopaedic Surgery Physician,approved,Core orthopedics code
Orthopedics,207XS0114X,Adult Reconstructive Orthopaedic Surgery Physician,approved,Ortho subspecialty
Orthopedics,207XX0004X,Orthopaedic Foot and Ankle Surgery Physician,approved,Ortho subspecialty
Orthopedics,207XS0106X,Orthopaedic Hand Surgery Physician,approved,Ortho subspecialty
Orthopedics,207XS0117X,Orthopaedic Surgery of the Spine Physician,approved,Ortho subspecialty
Orthopedics,207XX0801X,Orthopaedic Trauma Physician,approved,Ortho subspecialty
Orthopedics,207XX0005X,Sports Medicine (Orthopaedic Surgery) Physician,approved,Ortho subspecialty
Orthopedics,207XP3100X,Pediatric Orthopaedic Surgery Physician,approved,Ortho subspecialty (pediatric)
Dermatology,207N00000X,Dermatology Physician,approved,Core dermatology code
Dermatology,207NI0002X,Clinical & Laboratory Dermatological Immunology Physician,approved,Derm subspecialty
Dermatology,207ND0900X,Dermatopathology Physician,approved,Derm subspecialty
Dermatology,207ND0101X,MOHS-Micrographic Surgery Physician,approved,Derm subspecialty
Dermatology,207NS0135X,Procedural Dermatology Physician,approved,Derm subspecialty
Dermatology,207NP0225X,Pediatric Dermatology Physician,approved,Derm subspecialty (pediatric)
Family Medicine,207Q00000X,Family Medicine Physician,approved,Core family medicine code
Family Medicine,207QA0000X,Adolescent Medicine (Family Medicine) Physician,approved,FM subspecialty
Family Medicine,207QA0401X,Addiction Medicine (Family Medicine) Physician,approved,FM subspecialty
Family Medicine,207QA0505X,Adult Medicine Physician,approved,FM subspecialty
Family Medicine,207QD0401X,Diabetology (Family Medicine) Physician,approved,FM subspecialty
Family Medicine,207QG0300X,Geriatric Medicine (Family Medicine) Physician,approved,FM subspecialty
Family Medicine,207QH0002X,Hospice and Palliative Medicine (Family Medicine) Physician,approved,FM subspecialty
Family Medicine,207QB0002X,Obesity Medicine (Family Medicine) Physician,approved,FM subspecialty
Family Medicine,207QP0002X,Physician Nutrition Specialist (Family Medicine),approved,FM subspecialty
Family Medicine,207QS1201X,Sleep Medicine (Family Medicine) Physician,approved,FM subspecialty
Family Medicine,207QS0010X,Sports Medicine (Family Medicine) Physician,approved,FM subspecialty
Psychiatry,2084P0800X,Psychiatry Physician,approved,Core psychiatry code
Psychiatry,2084P0802X,Addiction Psychiatry Physician,approved,Psych subspecialty
Psychiatry,2084P0804X,Child & Adolescent Psychiatry Physician,approved,Psych subspecialty
Psychiatry,2084F0202X,Forensic Psychiatry Physician,approved,Psych subspecialty
Psychiatry,2084P0805X,Geriatric Psychiatry Physician,approved,Psych subspecialty
Psychiatry,2084P0015X,Psychosomatic Medicine Physician,approved,Psych subspecialty
Psychiatry,2084P0301X,Brain Injury Medicine (Psychiatry & Neurology) Physician,approved,Cross-specialty overlap: Psychiatry <-> Neurology
Psychiatry,2084B0040X,Behavioral Neurology & Neuropsychiatry Physician,approved,Cross-specialty overlap: Psychiatry <-> Neurology
Neurology,2084N0400X,Neurology Physician,approved,Core neurology code
Neurology,2084N0402X,Neurology with Special Qualifications in Child Neurology Physician,approved,Neuro subspecialty
Neurology,2084V0102X,Vascular Neurology Physician,approved,Neuro subspecialty
Neurology,2084N0600X,Clinical Neurophysiology Physician,approved,Neuro subspecialty
Neurology,2084E0001X,Epilepsy Physician,approved,Neuro subspecialty
Neurology,2084N0008X,Neuromuscular Medicine (Psychiatry & Neurology) Physician,approved,Neuro subspecialty
Neurology,2084A2900X,Neurocritical Care Physician,approved,Neuro subspecialty
Neurology,2084P0005X,Neurodevelopmental Disabilities Physician,approved,Neuro subspecialty
Neurology,2084D0003X,Diagnostic Neuroimaging (Psychiatry & Neurology) Physician,approved,Neuro subspecialty
Neurology,2084P0301X,Brain Injury Medicine (Psychiatry & Neurology) Physician,approved,Cross-specialty overlap: Neurology <-> Psychiatry
Neurology,2084B0040X,Behavioral Neurology & Neuropsychiatry Physician,approved,Cross-specialty overlap: Neurology <-> Psychiatry
Neurology,207T00000X,Neurological Surgery Physician,approved,Surgical neurology (physician)
Oncology,207RX0202X,Medical Oncology Physician,approved,Core oncology code
Oncology,207RH0003X,Hematology & Oncology Physician,approved,Oncology/hematology
Oncology,2085R0001X,Radiation Oncology Physician,approved,Radiation oncology
Oncology,2086X0206X,Surgical Oncology Physician,approved,Surgical oncology
Oncology,207VX0201X,Gynecologic Oncology Physician,approved,Cross-specialty overlap: Oncology <-> Obstetrics & Gynecology
